Ticker      Name                                        Exchange    List
A     	Agilent Technologies                             	NYSE      	SP500     
FLEX  	Flextronics Intl Ltd                             	NASDAQ    	none      
FLIR  	Flir Systems Inc                                 	NASDAQ    	SP500     
FLO   	Flowers Foods                                    	NYSE      	none      
FLR   	Fluor Corp                                       	NYSE      	SP500     
FLS   	Flowserve Corp                                   	NYSE      	SP500     
FLXN  	Flexion Therapeutics                             	NASDAQ    	none      
FMC   	FMC Corp                                         	NYSE      	SP500     
FNB   	F.N.B. Corp                                      	NYSE      	none      
FND   	Floor & Decor Holdings Inc                       	NYSE      	none      
FNF   	Fidelity National Financial                      	NYSE      	none      
FNKO  	Funko Inc Class A                                	NASDAQ    	none      
FNSR  	Finisar Corp                                     	NASDAQ    	SP600     
FNV   	Franco Nev Corp                                  	NYSE      	none      
FOLD  	Amicus Therapeutics                              	NASDAQ    	none      
FOSL  	Fossil Group                                     	NASDAQ    	SP600     
FOX   	21st Centry Fox Class B                          	NASDAQ    	SP500     
FOXA  	21st Centry Fox Class A                          	NASDAQ    	SP500     
FRAC  	Keane Group Inc                                  	NYSE      	none      
FRC   	First Republic Bank                              	NYSE      	none      
FSCT  	Forescout Technologies Inc                       	NASDAQ    	none      
FSLR  	First Solar Inc                                  	NASDAQ    	none      
FTI   	Technipfmc Plc                                   	NYSE      	SP500     
FTNT  	Fortinet Inc                                     	NASDAQ    	none      
FTSI  	Fts International Inc.                           	NYSE      	none      
FTV   	Fortive Corp                                     	NYSE      	SP500     
FUL   	H. B. Fuller Company                             	NYSE      	SP600     
FULT  	Fulton Financial Cor                             	NASDAQ    	none      
FWONK 	Liberty Media F1 Series K                        	NASDAQ    	none      
G     	Genpact Ltd                                      	NYSE      	none      
GBT   	Global Blood Ther                                	NASDAQ    	none      
GCI   	Gannett Co. Inc                                  	NYSE      	SP600     
GCP   	Gcp Applied Technologies Inc C                   	NYSE      	none      
GD    	General Dynamics Corp                            	NYSE      	SP500     
GDDY  	Godaddy Inc                                      	NYSE      	none      
GDI   	Gardner Denver Holdings Inc                      	NYSE      	none      
GDS   	Gds Holdings Ltd                                 	NASDAQ    	none      
GE    	General Electric Company                         	NYSE      	SP500     
GEL   	Genesis Energy LP                                	NYSE      	none      
GES   	Guess Inc                                        	NYSE      	SP600     
GG    	Goldcorp Inc                                     	NYSE      	none      
GGAL  	Grupo Fin Galicia                                	NASDAQ    	none      
GGG   	Graco Inc                                        	NYSE      	none      
GIII  	G-III Apparel Gp I                               	NASDAQ    	SP600     
GILD  	Gilead Sciences Inc                              	NASDAQ    	SP500     
GIS   	General Mills                                    	NYSE      	SP500     
GLNG  	Golar Lng Ltd                                    	NASDAQ    	none      
GLPI  	Gaming & Leisure                                 	NASDAQ    	none      
GLW   	Corning Inc                                      	NYSE      	SP500     
GM    	General Motors Company                           	NYSE      	SP500     
GME   	Gamestop Corp                                    	NYSE      	SP600     
GMED  	Globus Medical Inc                               	NYSE      	none      
GNRC  	Generac Holdings Inc                             	NYSE      	none      
GNTX  	Gentex Corp                                      	NASDAQ    	none      
GOLD  	Randgold Res Ltd                                 	NASDAQ    	none      
GOOG  	Alphabet Class C                                 	NASDAQ    	SP500     
GOOGL 	Alphabet Class A                                 	NASDAQ    	SP500     
GOOS  	Canada Goose Holdings Inc Subordinate Voting Sh  	NYSE      	none      
GPC   	Genuine Parts Company                            	NYSE      	SP500     
GPK   	Graphic Packaging Holding Company                	NYSE      	none      
GPN   	Global Payments Inc                              	NYSE      	SP500     
GPOR  	Gulfport Energy Corp                             	NASDAQ    	none      
GPRE  	Green Plains Inc                                 	NASDAQ    	SP600     
GPS   	Gap Inc                                          	NYSE      	SP500     
GRA   	W.R. Grace & Company                             	NYSE      	none      
GRFS  	Grifols S.A.                                     	NASDAQ    	none      
GRMN  	Garmin Ltd                                       	NASDAQ    	SP500     
GRUB  	Grubhub Inc                                      	NYSE      	none      
GS    	Goldman Sachs Group                              	NYSE      	SP500     
GSHT  	Gores Holdings II Inc Class A                    	NASDAQ    	none      
GSK   	Glaxosmithkline Plc                              	NYSE      	none      
GT    	Goodyear Tire Rubber                             	NASDAQ    	SP500     
GTT   	Global Telcom & Technology Inc                   	NYSE      	none      
GWPH  	Gw Pharma ADR                                    	NASDAQ    	none      
GWRE  	Guidewire Software Inc                           	NYSE      	none      
GWW   	W.W. Grainger                                    	NYSE      	SP500     
H     	Hyatt Hotels Corp                                	NYSE      	none      
HAIN  	Hain Celestial Grp                               	NASDAQ    	none      
HAL   	Halliburton Company                              	NYSE      	SP500     
HALO  	Halozyme Therapeutic                             	NASDAQ    	none      
HAS   	Hasbro Inc                                       	NASDAQ    	SP500     
HBAN  	Huntington Bcshs                                 	NASDAQ    	SP500     
HBI   	Hanesbrands Inc                                  	NYSE      	SP500     
HCA   	Hca Holdings Inc                                 	NYSE      	SP500     
HCC   	Warrior Met Coal Inc                             	NYSE      	none      
HCLP  	Hi-Crush Partners LP                             	NYSE      	none      
HCP   	HCP Inc                                          	NYSE      	SP500     
HCSG  	Healthcare Svcs Gp                               	NASDAQ    	none      
HD    	Home Depot                                       	NYSE      	SP500     
HDB   	Hdfc Bank Ltd                                    	NYSE      	none      
HDP   	Hortonworks                                      	NASDAQ    	none      
HDS   	HD Supply Hlds Cmm                               	NASDAQ    	none      
HEAR  	Turtle Beach Corp                                	NASDAQ    	none      
HES   	Hess Corp                                        	NYSE      	SP500     
HFC   	Hollyfrontier Corp                               	NYSE      	SP500     
HGV   	Hilton Grand Vacations Inc                       	NYSE      	none      
HIBB  	Hibbett Sports Inc                               	NASDAQ    	SP600     
HIG   	Hartford Financial Services Group                	NYSE      	SP500     
HIW   	Highwoods Properties                             	NYSE      	none      
HLF   	Herbalife Ltd                                    	NYSE      	none      
HLT   	Hilton Inc                                       	NYSE      	SP500     
HLX   	Helix Energy Solutions Group                     	NYSE      	SP600     
HMC   	Honda Motor Company                              	NYSE      	none      
HOG   	Harley-Davidson Inc                              	NYSE      	SP500     
HOLX  	Hologic Inc                                      	NASDAQ    	SP500     
HOME  	At Home Group Inc                                	NYSE      	none      
HON   	Honeywell International Inc                      	NYSE      	SP500     
HOPE  	Hope Bancorp Inc                                 	NASDAQ    	SP600     
HP    	Helmerich & Payne                                	NYSE      	SP500     
HPE   	Hewlett Packard Enterprise Comp                  	NYSE      	SP500     
HPP   	Hudson Pacific Properties                        	NYSE      	none      
HPQ   	Hewlett-Packard Company                          	NYSE      	SP500     
HQY   	Healthequity                                     	NASDAQ    	none      
HRB   	H&R Block                                        	NYSE      	SP500     
HRL   	Hormel Foods Corp                                	NYSE      	SP500     
HRS   	Harris Corp                                      	NYSE      	SP500     
HRTX  	Heron Therapeutics                               	NASDAQ    	none      
HSBC  	HSBC Holdings Plc                                	NYSE      	none      
HSIC  	Henry Schein Inc                                 	NASDAQ    	SP500     
HSY   	Hershey Foods Corp                               	NYSE      	SP500     
HTHT  	China Lodg Grp Ads                               	NASDAQ    	none      
HTZ   	Hertz Global Holdings Inc                        	NYSE      	none      
HUN   	Huntsman Corp                                    	NYSE      	none      
HXL   	Hexcel Corp                                      	NYSE      	none      
HZNP  	Horizon Pharma Ord                               	NASDAQ    	none      
I     	Intelsat S.A.                                    	NYSE      	none      
IAC   	Iac/Interactive                                  	NASDAQ    	none      
IART  	Integra Lifesciences                             	NASDAQ    	none      
IBKR  	Interactive Brokers                              	NASDAQ    	none      
IBM   	International Business Machines                  	NYSE      	SP500     
ICE   	Intercontinental Exchange                        	NYSE      	SP500     
ICHR  	Ichor                                            	NASDAQ    	SP600     
IDTI  	Integrated Devices                               	NASDAQ    	none      
IFF   	International Flavors & Fragrances               	NYSE      	SP500     
IGT   	International Game Technology                    	NYSE      	none      
IIVI  	I I V I Inc                                      	NASDAQ    	SP600     
ILMN  	Illumina Inc                                     	NASDAQ    	SP500     
IMAX  	Imax Corp                                        	NYSE      	none      
IMMU  	Immunomedics Inc                                 	NASDAQ    	none      
INCY  	Incyte Corp                                      	NASDAQ    	SP500     
INFO  	IHS Markit Ltd                                   	NASDAQ    	SP500     
INFY  	Infosys Ltd                                      	NYSE      	none      
ING   	VOYA Group N.V.                                  	NYSE      	none      
INGR  	Ingredion Inc                                    	NYSE      	none      
INN   	Summit Hotel Properties                          	NYSE      	SP600     
INSM  	Insmed Inc                                       	NASDAQ    	none      
INST  	Instructure Inc                                  	NYSE      	none      
INTC  	Intel Corp                                       	NASDAQ    	SP500     
INTU  	Intuit Inc                                       	NASDAQ    	SP500     
INVA  	Innoviva Inc                                     	NASDAQ    	SP600     
INVH  	Invitation Homes Inc                             	NYSE      	none      
IONS  	Ionis Pharmaceutical                             	NASDAQ    	none      
IOVA  	Iovance Biotherapeutics Inc                      	NASDAQ    	none      
IP    	International Paper Company                      	NYSE      	SP500     
IPG   	Interpublic Group of Companies                   	NYSE      	SP500     
IPGP  	Ipg Photonics Corp                               	NASDAQ    	SP500     
IPHI  	Inphi Corp                                       	NYSE      	none      
IQV   	Iqvia Holdings Inc                               	NYSE      	SP500     
IR    	Ingersoll-Rand Plc [Ireland]                     	NYSE      	SP500     
IRBT  	Irobot Corp                                      	NASDAQ    	SP600     
IRDM  	Iridium Comm Inc                                 	NASDAQ    	SP600     
IRM   	Iron Mountain Inc                                	NYSE      	SP500     
IRWD  	Ironwood Pharmaceuti                             	NASDAQ    	none      
ISBC  	Investors Bancorp                                	NASDAQ    	none      
ISRG  	Intuitive Surg Inc                               	NASDAQ    	SP500     
IT    	Gartner Inc                                      	NYSE      	SP500     
ITT   	ITT Industries                                   	NYSE      	none      
ITUB  	Itau Unibanco Banco Holding S.A.                 	NYSE      	none      
ITW   	Illinois Tool Works Inc                          	NYSE      	SP500     
IVR   	Invesco Mortgage Capital Inc                     	NYSE      	SP600     
IVZ   	Invesco Plc                                      	NYSE      	SP500     
JACK  	Jack In The Box Inc                              	NASDAQ    	none      
JAG   	Jagged Peak Energy Inc                           	NYSE      	none      
JBGS  	Jbg Smith Properties                             	NYSE      	none      
JBHT  	J B Hunt Transport                               	NASDAQ    	SP500     
JBL   	Jabil Circuit                                    	NYSE      	none      
JBLU  	Jetblue Airways Cp                               	NASDAQ    	none      
JCI   	Johnson Controls Intl                            	NYSE      	SP500     
JD    	Jd.Com Inc Ads                                   	NASDAQ    	NDX       
JEC   	Jacobs Engineering Group Inc                     	NYSE      	SP500     
JELD  	Jeld-Wen Holding Inc                             	NYSE      	none      
JHG   	Janus Henderson Group Plc.                       	NYSE      	none      
JKHY  	Jack Henry & Assoc                               	NASDAQ    	none      
JNJ   	Johnson & Johnson                                	NYSE      	SP500     
JNPR  	Juniper Networks                                 	NYSE      	SP500     
JPM   	JP Morgan Chase & Co                             	NYSE      	SP500     
JWN   	Nordstrom                                        	NYSE      	SP500     
K     	Kellogg Company                                  	NYSE      	SP500     
KAR   	Kar Auction Services Inc                         	NYSE      	none      
KBH   	KB Home                                          	NYSE      	none      
KBR   	KBR Inc                                          	NYSE      	none      
KEM   	Kemet Corp                                       	NYSE      	SP600     
KEY   	Keycorp                                          	NYSE      	SP500     
KEYS  	Keysight Technologies Inc Comm                   	NYSE      	none      
KFY   	Korn/Ferry International                         	NYSE      	SP600     
KHC   	Kraft Heinz Co                                   	NASDAQ    	SP500     
KIM   	Kimco Realty Corp                                	NYSE      	SP500     
KKR   	KKR & Co. LP                                     	NYSE      	none      
KL    	Kirkland Lake Gold Ltd                           	NYSE      	none      
KLAC  	K L A-Tencor Corp                                	NASDAQ    	SP500     
KLIC  	Kulicke and Soffa                                	NASDAQ    	SP600     
KLXI  	Klx Inc                                          	NASDAQ    	none      
KMB   	Kimberly-Clark Corp                              	NYSE      	SP500     
KMI   	Kinder Morgan                                    	NYSE      	SP500     
KMI-A 	Kinder Morgan Inc                                	NYSE      	none      
KMT   	Kennametal Inc                                   	NYSE      	none      
KMX   	Carmax Inc                                       	NYSE      	SP500     
KN    	Knowles Corp                                     	NYSE      	SP600     
KNX   	Knight-Swift Transporation Inc                   	NYSE      	none      
KO    	Coca-Cola Company                                	NYSE      	SP500     
KORS  	Michael Kors Holdings Ltd                        	NYSE      	SP500     
KPTI  	Karyopharm Therapeut                             	NASDAQ    	none      
KR    	Kroger Company                                   	NYSE      	SP500     
KRC   	Kilroy Realty Corp                               	NYSE      	none      
KS    	Kapstone Paper and Packaging Corp                	NYSE      	SP600     
KSS   	Kohl's Corp                                      	NYSE      	SP500     
KSU   	Kansas City Southern                             	NYSE      	SP500     
KT    	Korea Telecom Corp                               	NYSE      	none      
KTOS  	Kratos Defns                                     	NASDAQ    	none      
KTWO  	K2M Group Hldngs                                 	NASDAQ    	none      
KW    	Kennedy-Wilson Holdings Inc                      	NYSE      	none      
L     	Loews Corp                                       	NYSE      	SP500     
LADR  	Ladder Capital Corp                              	NYSE      	none      
LAUR  	Laureate Education Inc                           	NASDAQ    	none      
LAZ   	Lazard Ltd                                       	NYSE      	none      
LB    	L Brands Inc                                     	NYSE      	SP500     
LBRDK 	Liberty Broadbd C                                	NASDAQ    	none      
LBRT  	Liberty Oilfield Services Inc.                   	NYSE      	none      
LCA   	Landcadia Holdings Inc                           	NASDAQ    	none      
LDOS  	Leidos Holdings Inc                              	NYSE      	none      
LEA   	Lear Corp                                        	NYSE      	none      
LECO  	Lincoln Elec Hldg                                	NASDAQ    	none      
LEG   	Leggett & Platt Inc                              	NYSE      	SP500     
LEN   	Lennar Corp                                      	NYSE      	SP500     
LFC   	China Life Insurance Company Ltd                 	NYSE      	none      
LGF.A 	Lions Gate Entertainment Corp Cl A               	NYSE      	none      
LGF.B 	Lions Gate Entertainment Corp Cl B               	NYSE      	none      
LH    	Laboratory Corporation of America Holdings       	NYSE      	SP500     
LHO   	Lasalle Hotel Properties                         	NYSE      	none      
LILAK 	Liberty Latin America Cl C                       	NASDAQ    	none      
LITE  	Lumentum Hld                                     	NASDAQ    	none      
LIVN  	Livanova Plc Or Sh                               	NASDAQ    	none      
LKQ   	LKQ Corp                                         	NASDAQ    	SP500     
LL    	Lumber Liquidators Holdings Inc                  	NYSE      	SP600     
LLY   	Eli Lilly and Company                            	NYSE      	SP500     
LM    	Legg Mason Inc                                   	NYSE      	none      
LMT   	Lockheed Martin Corp                             	NYSE      	SP500     
LNC   	Lincoln National Corp                            	NYSE      	SP500     
LNG   	Cheniere Energy                                  	AMEX      	none      
LNT   	Alliant Energy Corp                              	NYSE      	SP500     
LOGM  	Logmein Inc                                      	NASDAQ    	none      
LOW   	Lowe's Companies                                 	NYSE      	SP500     
LPLA  	Lpl Financial Hld                                	NASDAQ    	none      
LPX   	Louisiana-Pacific Corp                           	NYSE      	none      
LRCX  	Lam Research Corp                                	NASDAQ    	SP500     
LSXMA 	Liberty Srs XM CS A                              	NASDAQ    	none      
LSXMK 	Liberty Srs XM CS C                              	NASDAQ    	none      
LTM   	Latam Airlines Group S.A.                        	NYSE      	none      
LTRPA 	Liberty Tripadv A                                	NASDAQ    	none      
LULU  	Lululemon Athletica                              	NASDAQ    	none      
LUV   	Southwest Airlines Company                       	NYSE      	SP500     
LVS   	Las Vegas Sands                                  	NYSE      	none      
LW    	Lamb Weston Holdings Inc                         	NYSE      	none      
LYB   	Lyondellbasell Industries Nv                     	NYSE      	SP500     
LYV   	Live Nation Entertainment                        	NYSE      	none      
M     	Macy's Inc                                       	NYSE      	SP500     
MA    	Mastercard Inc                                   	NYSE      	SP500     
MAA   	Mid-America Apartment Communities                	NYSE      	SP500     
MAC   	Macerich Company                                 	NYSE      	SP500     
MAN   	Manpower Inc                                     	NYSE      	none      
MANH  	Manhattan Assoc                                  	NASDAQ    	none      
MAR   	Marriot Int Class A                              	NASDAQ    	SP500     
MAS   	Masco Corp                                       	NYSE      	SP500     
MASI  	Masimo Corp                                      	NASDAQ    	none      
MAT   	Mattel Inc                                       	NASDAQ    	SP500     
MB    	Mindbody Cls A                                   	NASDAQ    	none      
MBFI  	MB Financial Inc                                 	NASDAQ    	none      
MBI   	MBIA Inc                                         	NYSE      	none      
MCD   	McDonald's Corp                                  	NYSE      	SP500     
MCHP  	Microchip Technology                             	NASDAQ    	SP500     
MCK   	Mckesson Corp                                    	NYSE      	SP500     
MCO   	Moody's Corp                                     	NYSE      	SP500     
MD    	Mednax Inc                                       	NYSE      	none      
MDB   	Mongodb Inc Class A                              	NASDAQ    	none      
MDCO  	Medicines Co                                     	NASDAQ    	SP600     
MDLZ  	Mondelez Intl Cmn A                              	NASDAQ    	SP500     
MDR   	McDermott International                          	NYSE      	none      
MDRX  	Allscripts Hlthcare                              	NASDAQ    	none      
MDSO  	Medidata Solutions                               	NASDAQ    	none      
MDT   	Medtronic Inc                                    	NYSE      	SP500     
MDU   	Mdu Res Group Inc                                	NYSE      	none      
MEDP  	Medpace Holdings Inc                             	NASDAQ    	none      
MELI  	Mercadolibre Inc                                 	NASDAQ    	NDX       
MEOH  	Methanex Cp                                      	NASDAQ    	none      
MET   	Metlife Inc                                      	NYSE      	SP500     
MFC   	Manulife Financial Corp                          	NYSE      	none      
MFGP  	Micro Focus Intl Plc                             	NYSE      	none      
MGA   	Magna International                              	NYSE      	none      
MGM   	MGM Resorts International                        	NYSE      	SP500     
MGP   	MGM Growth Properties Llc                        	NYSE      	none      
MHK   	Mohawk Industries                                	NYSE      	SP500     
MIK   	The Michaels Comp                                	NASDAQ    	none      
MIME  	Mimecast Limited Ord                             	NASDAQ    	none      
MITL  	Mitel Networks Corp                              	NASDAQ    	none      
MKC   	Mccormick & Company Inc                          	NYSE      	SP500     
MLCO  	Melco Resorts & Entertainment                    	NASDAQ    	none      
MLM   	Martin Marietta Materials                        	NYSE      	SP500     
MMC   	Marsh & Mclennan Companies                       	NYSE      	SP500     
MMM   	3M Company                                       	NYSE      	SP500     
MMP   	Magellan Midstream Partners LP                   	NYSE      	none      
MNK   	Mallinckrodt Plc Ordinary Share                  	NYSE      	none      
MNR   	Monmouth Real Estate Investment Corp             	NYSE      	none      
MNST  	Monster Beverage Cp                              	NASDAQ    	SP500     
MNTA  	Momenta Pharma                                   	NASDAQ    	SP600     
MO    	Altria Group                                     	NYSE      	SP500     
MOH   	Molina Healthcare Inc                            	NYSE      	none      
MOMO  	Momo Inc Ads                                     	NASDAQ    	none      
MOS   	Mosaic Company                                   	NYSE      	SP500     
MPC   	Marathon Petroleum Corp                          	NYSE      	SP500     
MPLX  	Mplx LP                                          	NYSE      	none      
MPWR  	Monolithic Power Sys                             	NASDAQ    	none      
MRC   	Mrc Global Inc                                   	NYSE      	none      
MRK   	Merck & Company                                  	NYSE      	SP500     
MRO   	Marathon Oil Corp                                	NYSE      	SP500     
MRTX  	Mirati Therapeutics                              	NASDAQ    	none      
MRVL  	Marvell Tech Group                               	NASDAQ    	none      
MS    	Morgan Stanley                                   	NYSE      	SP500     
MSCI  	MSCI Inc                                         	NYSE      	SP500     
MSFT  	Microsoft Corp                                   	NASDAQ    	SP500     
MSI   	Motorola Solutions                               	NYSE      	SP500     
MT    	Arcelormittal                                    	NYSE      	none      
MTB   	M&T Bank Corp                                    	NYSE      	SP500     
MTCH  	Match Group Inc CS                               	NASDAQ    	none      
MTDR  	Matador Resources Company                        	NYSE      	none      
MTG   	Mgic Investment Corp                             	NYSE      	none      
MTOR  	Meritor Inc.                                     	NYSE      	none      
MTSI  	Macom Technology S                               	NASDAQ    	none      
MTZ   	Mastec Inc                                       	NYSE      	none      
MU    	Micron Technology                                	NASDAQ    	SP500     
MUR   	Murphy Oil Corp                                  	NYSE      	none      
MWA   	Mueller Water Products                           	NYSE      	none      
MXIM  	Maxim Integrated                                 	NASDAQ    	NDX       
MXL   	Maxlinear Inc                                    	NYSE      	SP600     
MYGN  	Myriad Genetics Inc                              	NASDAQ    	SP600     
MYL   	Mylan Nv Ord Shs                                 	NASDAQ    	SP500     
MZOR  	Mazor Robotics Ads                               	NASDAQ    	none      
NAV   	Navistar International Corp                      	NYSE      	none      
NAVI  	Navient Cp                                       	NASDAQ    	none      
NBIX  	Neurocrine Bioscienc                             	NASDAQ    	none      
NBL   	Noble Energy Inc                                 	NYSE      	SP500     
NCLH  	Norwegian Cruise Ord                             	NYSE      	SP500     
NCR   	NCR Corp                                         	NYSE      	none      
NDAQ  	Nasdaq Inc                                       	NASDAQ    	SP500     
NEE   	Nextera Energy                                   	NYSE      	SP500     
NEM   	Newmont Mining Corp                              	NYSE      	SP500     
NEWR  	New Relic Inc                                    	NYSE      	none      
NFLX  	Netflix Inc                                      	NASDAQ    	SP500     
NFX   	Newfield Exploration Company                     	NYSE      	SP500     
NGG   	National Grid Transco Plc                        	NYSE      	none      
NGL   	Ngl Energy Partners LP                           	NYSE      	none      
NI    	NiSource Inc                                     	NYSE      	SP500     
NKE   	Nike Inc                                         	NYSE      	SP500     
NKTR  	Nektar Therapeutics                              	NASDAQ    	SP500     
NLSN  	Nielsen Holdings Plc                             	NYSE      	SP500     
NLY   	Annaly Capital Management Inc                    	NYSE      	none      
NMRK  	Newmark Group Inc Class A                        	NASDAQ    	none      
NNBR  	NN Inc                                           	NASDAQ    	none      
NNN   	National Retail Properties                       	NYSE      	none      
NOC   	Northrop Grumman Corp                            	NYSE      	SP500     
NOMD  	Nomad Foods Limited Ordinary Sh                  	NYSE      	none      
NOV   	National-Oilwell                                 	NYSE      	SP500     
NOW   	Servicenow Inc                                   	NYSE      	none      
NR    	Newpark Resources                                	NYSE      	SP600     
NRG   	NRG Energy                                       	NYSE      	SP500     
NRZ   	New Residential Investment Corp                  	NYSE      	none      
NS    	Nustar Energy LP                                 	NYSE      	none      
NSC   	Norfolk Southern Corp                            	NYSE      	SP500     
NTAP  	Netapp Inc                                       	NASDAQ    	SP500     
NTCT  	Netscout Systems I                               	NASDAQ    	none      
NTES  	Netease Inc Ads                                  	NASDAQ    	NDX       
NTLA  	Intellia Thera CS                                	NASDAQ    	none      
NTNX  	Nutanix Inc                                      	NASDAQ    	none      
NTR   	Nutrien Ltd                                      	NYSE      	none      
NTRA  	Natera Inc                                       	NASDAQ    	none      
NTRI  	Nutrisystem Inc                                  	NASDAQ    	SP600     
NUAN  	Nuance Communicatns                              	NASDAQ    	none      
NUE   	Nucor Corp                                       	NYSE      	SP500     
NUVA  	Nuvasive Inc                                     	NASDAQ    	none      
NVCR  	Novocure Ltd Ord Sh                              	NASDAQ    	none      
NVDA  	Nvidia Corp                                      	NASDAQ    	SP500     
NVO   	Novo Nordisk A/S                                 	NYSE      	none      
NVS   	Novartis Ag                                      	NYSE      	none      
NVTA  	Invitae Corp                                     	NYSE      	none      
NWL   	Newell Rubbermaid Inc                            	NYSE      	SP500     
NWS   	News Cp Cl B Cmn ST                              	NASDAQ    	SP500     
NWSA  	News Cp Cl A Cmn ST                              	NASDAQ    	SP500     
NXEO  	Nexeo Solutions Inc                              	NASDAQ    	none      
NXPI  	Nxp Semiconductors                               	NASDAQ    	none      
NXTM  	Nxstage Medical Inc                              	NASDAQ    	none      
NYCB  	New York Community Bancorp                       	NYSE      	none      
NYT   	New York Times Company                           	NYSE      	none      
O     	Realty Income Corp                               	NYSE      	SP500     
OAS   	Oasis Petroleum Inc                              	NYSE      	none      
OC    	Owens Corning Inc                                	NYSE      	none      
ODFL  	Old Dominion Freig                               	NASDAQ    	none      
OFC   	Corporate Office Properties                      	NYSE      	none      
OGE   	Oge Energy Corp                                  	NYSE      	none      
OHI   	Omega Healthcare Investors                       	NYSE      	none      
OI    	Owens-Illinois                                   	NYSE      	none      
OII   	Oceaneering International                        	NYSE      	none      
OKE   	Oneok Inc                                        	NYSE      	SP500     
OKTA  	Okta Inc Class A                                 	NASDAQ    	none      
OLED  	Universal Display                                	NASDAQ    	none      
OLLI  	Ollies Bargain CS                                	NASDAQ    	none      
OLN   	Olin Corp                                        	NYSE      	none      
OMC   	Omnicom Group Inc                                	NYSE      	SP500     
OMER  	Omeros Corp                                      	NASDAQ    	none      
OMI   	Owens & Minor                                    	NYSE      	SP600     
ON    	On Semiconductor                                 	NASDAQ    	none      
ONB   	Old National Bncp                                	NASDAQ    	SP600     
ONCE  	Spark Therap                                     	NASDAQ    	none      
ORCL  	Oracle Corp                                      	NYSE      	SP500     
ORI   	Old Republic International Corp                  	NYSE      	none      
ORIG  	Ocean Rig Udw Inc                                	NASDAQ    	none      
ORLY  	O'Reilly Automotive                              	NASDAQ    	SP500     
OSK   	Oshkosh Truck Corp                               	NYSE      	none      
OSTK  	Overstock.Com Inc                                	NASDAQ    	none      
OUT   	Outfront Media Inc                               	NYSE      	none      
OXY   	Occidental Petroleum Corp                        	NYSE      	SP500     
PAA   	Plains All American Pipeline LP                  	NYSE      	none      
PAAS  	Pan Amer Silver Corp                             	NASDAQ    	none      
PACW  	Pacwest Bancorp                                  	NASDAQ    	none      
PAGP  	Plains Gp Holdings LP                            	NYSE      	none      
PAGS  	Pagseguro Digital Ltd. Class A                   	NYSE      	none      
PAH   	Platform Specialty Products Corp                 	NYSE      	none      
PAM   	Pampa Energia S.A.                               	NYSE      	none      
PANW  	Palo Alto Networks Inc                           	NYSE      	none      
PAYC  	Paycom Software Inc                              	NYSE      	none      
PAYX  	Paychex Inc                                      	NASDAQ    	SP500     
PBCT  	People's United Finl                             	NASDAQ    	SP500     
PBF   	PBF Energy Inc                                   	NYSE      	none      
PBR   	Petroleo Brasileiro S.A. Petrobras               	NYSE      	none      
PBR.A 	Petroleo Brasileiro S.A. Petrobras               	NYSE      	none      
PBYI  	Puma Biotechnology                               	NASDAQ    	none      
PCAR  	Paccar Inc                                       	NASDAQ    	SP500     
PCG   	Pacific Gas & Electric Co                        	NYSE      	SP500     
PCH   	Potlatch Cp                                      	NASDAQ    	none      
PCI   	Pimco Dynamic Credit Income Fun                  	NYSE      	none      
PCRX  	Pacira Pharm Inc                                 	NASDAQ    	none      
PDBC  	DB Optimum Yield Dvsd Commodity Strate PS        	NASDAQ    	none      
PDCE  	Pdc Energy Inc                                   	NASDAQ    	SP600     
PDCO  	Patterson Companies                              	NASDAQ    	none      
PE    	Parsley Energy                                   	NYSE      	none      
PEG   	Public Service Enterprise Group Inc              	NYSE      	SP500     
PEGI  	Pattern Energy Cl A                              	NASDAQ    	none      
PENN  	Penn Natl Gaming Inc                             	NASDAQ    	SP600     
PEP   	Pepsico Inc                                      	NASDAQ    	SP500     
PETQ  	Petiq Inc Class A                                	NASDAQ    	none      
PETS  	Petmed Express Inc                               	NASDAQ    	SP600     
PF    	Pinnacle Foods Inc                               	NYSE      	none      
PFE   	Pfizer Inc                                       	NYSE      	SP500     
PFG   	Principal Financial Group Inc                    	NASDAQ    	SP500     
PFGC  	Performance Food Group Co                        	NYSE      	none      
PFPT  	Proofpoint Inc                                   	NASDAQ    	none      
PG    	Procter & Gamble Company                         	NYSE      	SP500     
PGR   	Progressive Corp                                 	NYSE      	SP500     
PGRE  	Paramount Group Inc                              	NYSE      	none      
PGTI  	Pgt Inc                                          	NYSE      	SP600     
PH    	Parker-Hannifin Corp                             	NYSE      	SP500     
PHG   	Koninklijke Philips Electronics                  	NYSE      	none      
PHM   	Pultegroup                                       	NYSE      	SP500     
PI    	Impinj Inc                                       	NASDAQ    	none      
PII   	Polaris Industries Inc                           	NYSE      	none      
PINC  	Premier Inc Cl A                                 	NASDAQ    	none      
PK    	Park Hotels & Resorts Inc                        	NYSE      	none      
PKG   	Packaging Corporation of America                 	NYSE      	SP500     
PKI   	Perkinelmer                                      	NYSE      	SP500     
PLAY  	Dave & Buster's Ente                             	NASDAQ    	SP600     
PLCE  	Children's Place Inc                             	NASDAQ    	SP600     
PLD   	Prologis Inc                                     	NYSE      	SP500     
PLNT  	Planet Fitness                                   	NYSE      	none      
PM    	Philip Morris International Inc                  	NYSE      	SP500     
PNC   	PNC Bank                                         	NYSE      	SP500     
PNFP  	Pinnacle Finl Ptnrs                              	NASDAQ    	none      
